Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Left.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Left.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.WristAbduction.Pos
  1.600000000000000e+00, -2.359223950912067e+00,  3.120636274054301e-01, -1.377839375711883e+00,  3.292720947573241e-01,  7.135696102093582e-01,  2.043178413108345e-01, -4.291288661201877e-01,  2.975271283676724e-01,  7.736817314100781e-02,  9.530288042345865e-01,  6.393387194453823e-01, -8.872452113842733e-02,  3.987080945695688e-02
  1.610000000000000e+00, -2.363501044826495e+00,  3.084249863781213e-01, -1.381705463471413e+00,  3.254872620439812e-01,  7.135245763139408e-01,  2.045702790055332e-01, -4.311768725912358e-01,  2.951079572360610e-01,  7.076971496009195e-02,  9.534599325549108e-01,  6.400769231676984e-01, -8.552430261598221e-02,  4.060347361700842e-02
  1.620000000000000e+00, -2.367947174256121e+00,  3.044069289330923e-01, -1.386216931863458e+00,  3.213760135025548e-01,  7.135026275845413e-01,  2.048309229281359e-01, -4.335800745648362e-01,  2.931449374505394e-01,  6.267142234808898e-02,  9.525303422905627e-01,  6.398067852008682e-01, -8.312708364191890e-02,  4.130709201772861e-02
  1.630000000000000e+00, -2.372373979678369e+00,  3.001423580469336e-01, -1.391257113480212e+00,  3.170885004184731e-01,  7.135102493710169e-01,  2.050873870849724e-01, -4.364479191633576e-01,  2.917268245802130e-01,  5.311907710043551e-02,  9.500692962573847e-01,  6.384613565583718e-01, -8.176644153375845e-02,  4.196216956314049e-02
  1.640000000000000e+00, -2.376608989619779e+00,  2.957611081916712e-01, -1.396716224573626e+00,  3.127592237169720e-01,  7.135513492866464e-01,  2.053294879925345e-01, -4.398614389727483e-01,  2.909181539619708e-01,  4.222769194746393e-02,  9.459038228474573e-01,  6.359886331356780e-01, -8.160596689855715e-02,  4.254115595414720e-02
  1.650000000000000e+00, -2.380521333124655e+00,  2.913715254615127e-01, -1.402500846324566e+00,  3.084910170287751e-01,  7.136271337030199e-01,  2.055502975092424e-01, -4.438489213709702e-01,  2.907468758683708e-01,  3.018566021556042e-02,  9.398735203635258e-01,  6.323557720568566e-01, -8.271846402600813e-02,  4.300857668872495e-02
  1.660000000000000e+00, -2.384036779648033e+00,  2.870488682558252e-01, -1.408535721910257e+00,  3.043485352929448e-01,  7.137365971631825e-01,  2.057463164120029e-01, -4.483768835292762e-01,  2.911989611301674e-01,  1.724591495200920e-02,  9.318432032047226e-01,  6.275626306635659e-01, -8.508800030960861e-02,  4.332552282688951e-02
  1.670000000000000e+00, -2.387143536150288e+00,  2.828311147749381e-01, -1.414757707836702e+00,  3.003598767558131e-01,  7.138772125006388e-01,  2.059170525332277e-01, -4.533550422115342e-01,  2.922189876083207e-01,  3.705627318453619e-03,  9.217152500105564e-01,  6.216557260016924e-01, -8.862799230582130e-02,  4.345603440128917e-02
  1.680000000000000e+00, -2.389890802982038e+00,  2.787198421218063e-01, -1.421107847765766e+00,  2.965223178630673e-01,  7.140456086242789e-01,  2.060643482079185e-01, -4.586489298981218e-01,  2.937177779994051e-01, -1.012148892249650e-02,  9.094410528557466e-01,  6.147508651140656e-01, -9.320415559074680e-02,  4.337272275725564e-02
  1.690000000000000e+00, -2.392378449001769e+00,  2.746850211254243e-01, -1.427528470184900e+00,  2.928097776959430e-01,  7.142382631108963e-01,  2.061915817637303e-01, -4.640955565353135e-01,  2.955879693107756e-01, -2.393536562994531e-02,  8.950277215736993e-01,  6.070719206884263e-01, -9.865391385873457e-02,  4.306076809867822e-02
