Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos
  1.600000000000000e+00,  3.410829640649188e-01,  7.283725209278291e-02,  1.510161124154028e-01,  2.095536575357090e-01, -9.701015921549767e-03,  2.136687080860992e-01
  1.610000000000000e+00,  3.423114260594226e-01,  6.266206056509338e-02,  1.414582128427216e-01,  2.264364306125593e-01,  3.668823143682202e-03,  2.315660941282066e-01
  1.620000000000000e+00,  3.436043066215134e-01,  5.112453007286244e-02,  1.306971912714593e-01,  2.455485076992474e-01,  1.821465334305281e-02,  2.482505521920091e-01
  1.630000000000000e+00,  3.444854560127059e-01,  3.852413339152294e-02,  1.190836337018809e-01,  2.659316838769602e-01,  3.290408881464696e-02,  2.629870107851839e-01
  1.640000000000000e+00,  3.444713889347775e-01,  2.519513600783441e-02,  1.069837806259537e-01,  2.867223652472032e-01,  4.661849621855063e-02,  2.755858708044420e-01
  1.650000000000000e+00,  3.431252146767513e-01,  1.148436821144361e-02,  9.478571654724037e-02,  3.071223209582295e-01,  5.835081416546315e-02,  2.863656511032340e-01
  1.660000000000000e+00,  3.401124550268759e-01, -2.270379691596380e-03,  8.288521829019065e-02,  3.264077656993990e-01,  6.733442694225190e-02,  2.959421897778675e-01
  1.670000000000000e+00,  3.352393217467323e-01, -1.576024518911767e-02,  7.167882108359526e-02,  3.439740449130677e-01,  7.310288283413846e-02,  3.049130354304316e-01
  1.680000000000000e+00,  3.284558147440882e-01, -2.872591720088735e-02,  6.155107572591675e-02,  3.593683439407023e-01,  7.548556104829941e-02,  3.136211225327104e-01
  1.690000000000000e+00,  3.198214428260417e-01, -4.097416832474599e-02,  5.285016617587445e-02,  3.722865828099220e-01,  7.456105748475418e-02,  3.221051339577887e-01
