Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.WristAbduction.Pos
  1.600000000000000e+00, -6.078615554202090e-02, -1.875880703756215e+00,  1.627134904880805e-01,  1.662592141497357e-01,  7.457773805959652e-01,  1.961427483166007e-01, -2.589924762455745e-01,  5.282915488642620e-01, -3.820258912515900e-01,  5.415089931176157e-01,  7.089072993714596e-01, -2.808248067751329e-01,  1.764335322089791e-02
  1.610000000000000e+00, -6.189592034712360e-02, -1.874444603747891e+00,  1.640283165346249e-01,  1.665776354289467e-01,  7.456902463771535e-01,  1.961757924613780e-01, -2.574596965000436e-01,  5.311240684099853e-01, -3.782003486495602e-01,  5.346172986070613e-01,  7.114348584806085e-01, -2.857256056907187e-01,  1.720073091772725e-02
  1.620000000000000e+00, -6.345519952172080e-02, -1.872803146408116e+00,  1.659102112603746e-01,  1.670709557739022e-01,  7.455322742725590e-01,  1.962413697929062e-01, -2.564094779726037e-01,  5.339388324640476e-01, -3.739172664121148e-01,  5.275701934401463e-01,  7.146431873568178e-01, -2.906391790605438e-01,  1.675171409266564e-02
  1.630000000000000e+00, -6.545751446965685e-02, -1.871015636954268e+00,  1.683624446213183e-01,  1.677471133024382e-01,  7.452995260846752e-01,  1.963413125683052e-01, -2.559627240687620e-01,  5.366836862447836e-01, -3.691901869617907e-01,  5.205560510358545e-01,  7.184585472469078e-01, -2.955228571025583e-01,  1.630525345898943e-02
  1.640000000000000e+00, -6.787263588235312e-02, -1.869154857764229e+00,  1.713598153415239e-01,  1.686062198994852e-01,  7.449918297063063e-01,  1.964755705188202e-01, -2.562125499889270e-01,  5.392941067442792e-01, -3.640576316907056e-01,  5.138249016355512e-01,  7.227654187960725e-01, -3.002968659146321e-01,  1.586966255672473e-02
  1.650000000000000e+00, -7.064745551713003e-02, -1.867295129219419e+00,  1.748476524872207e-01,  1.696389457064426e-01,  7.446137023492867e-01,  1.966417567403126e-01, -2.572112380454031e-01,  5.416996823831092e-01, -3.585861530903665e-01,  5.076811608896550e-01,  7.274269669739071e-01, -3.048434285459505e-01,  1.545563180394348e-02
  1.660000000000000e+00, -7.371322388496127e-02, -1.865501281733372e+00,  1.787490522512384e-01,  1.708276407950859e-01,  7.441738357005976e-01,  1.968354233091776e-01, -2.589675926520003e-01,  5.438271868210448e-01, -3.528664834818669e-01,  5.024626375591115e-01,  7.322978306133449e-01, -3.090156779164919e-01,  1.507585669026961e-02
  1.670000000000000e+00, -7.699912785870966e-02, -1.863823269681004e+00,  1.829812228497219e-01,  1.721510991205161e-01,  7.436827611586858e-01,  1.970512293134296e-01, -2.614545747760632e-01,  5.456004583058652e-01, -3.470026490286306e-01,  4.985078916369193e-01,  7.372426030629979e-01, -3.126495602083383e-01,  1.474418323672894e-02
  1.680000000000000e+00, -8.044733743562291e-02, -1.862294807005796e+00,  1.874749660126957e-01,  1.735909881017461e-01,  7.431499067013054e-01,  1.972843588010311e-01, -2.646217375416443e-01,  5.469401026078571e-01, -3.410983902291245e-01,  4.961216222111562e-01,  7.421512477542317e-01, -3.155749283163320e-01,  1.447579573097439e-02
  1.690000000000000e+00, -8.402261134133396e-02, -1.860934960335747e+00,  1.921881608108565e-01,  1.751367746646782e-01,  7.425815625682497e-01,  1.975314498899122e-01, -2.684045251507245e-01,  5.477658961424289e-01, -3.352457741884691e-01,  4.955461196115329e-01,  7.469545928660465e-01, -3.176260462149276e-01,  1.428726736215733e-02
  1.700000000000000e+00, -8.771206605337808e-02, -1.859754367601450e+00,  1.971069496775325e-01,  1.767869951044727e-01,  7.419804447163795e-01,  1.977907612992938e-01, -2.727266368411906e-01,  5.479997894547328e-01, -3.295166832562812e-01,  4.969417506386640e-01,  7.516361903814557e-01, -3.186554720658703e-01,  1.419466209830154e-02
  1.710000000000000e+00, -9.151630818704203e-02, -1.858763234191135e+00,  2.022352417069359e-01,  1.785465882005121e-01,  7.413468049358322e-01,  1.980616447345247e-01, -2.774974618596645e-01,  5.475689091622383e-01, -3.239553792963786e-01,  5.003761035105428e-01,  7.562310607397843e-01, -3.185537109149581e-01,  1.421083781323295e-02
  1.720000000000000e+00, -9.543688832751247e-02, -1.857976528202912e+00,  2.075783795487581e-01,  1.804217064969919e-01,  7.406804491540891e-01,  1.983436391983652e-01, -2.826088483044993e-01,  5.464089944903581e-01, -3.185733861009131e-01,  5.058225451152366e-01,  7.608098878297712e-01, -3.172730254677743e-01,  1.434490665803073e-02
  1.730000000000000e+00, -9.946477204526899e-02, -1.857415809475211e+00,  2.131271519992659e-01,  1.824140294957187e-01,  7.399827472959998e-01,  1.986356246256468e-01, -2.879340120259394e-01,  5.444673288038919e-01, -3.133498016325200e-01,  5.131699791363211e-01,  7.654628886844327e-01, -3.148528622745992e-01,  1.460331183725806e-02
  1.740000000000000e+00, -1.035726006125808e-01, -1.857108852213930e+00,  2.188461624332091e-01,  1.845161201237712e-01,  7.392579857636360e-01,  1.989353284640791e-01, -2.933281727663208e-01,  5.417071743576337e-01, -3.082374422946858e-01,  5.222437897865899e-01,  7.703025369341931e-01, -3.114291928588793e-01,  1.499031004084374e-02
