Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.WristAbduction.Pos
  1.700000000000000e+00, -8.729427522400121e-02, -1.859171258394541e+00,  1.964966164112560e-01,  1.765053920182548e-01,  7.420995484330305e-01,  1.977326189752243e-01, -2.730998796477339e-01,  5.353321313086671e-01, -3.285209204251952e-01,  4.995504280323935e-01,  7.259231771495477e-01, -3.292560764035777e-01,  1.491085669821279e-02
  1.710000000000000e+00, -9.109406741345874e-02, -1.858163516509706e+00,  2.016155594932764e-01,  1.782574634664538e-01,  7.414669315309490e-01,  1.980035974079221e-01, -2.778160020787253e-01,  5.349461388174644e-01, -3.229248688700148e-01,  5.029591311839668e-01,  7.305233054228465e-01, -3.291791489177875e-01,  1.491527769025790e-02
  1.720000000000000e+00, -9.500884831313933e-02, -1.857351956839963e+00,  2.069471418612299e-01,  1.801232255140892e-01,  7.408024167981360e-01,  1.982853224914862e-01, -2.828644879703604e-01,  5.338594184467901e-01, -3.175084364468475e-01,  5.083738550247745e-01,  7.351226883059708e-01, -3.279358111389385e-01,  1.503281587314909e-02
  1.730000000000000e+00, -9.902976035055369e-02, -1.856758649731131e+00,  2.124824742332055e-01,  1.821044732750530e-01,  7.401072555924352e-01,  1.985767430899132e-01, -2.881194014899321e-01,  5.320176765149587e-01, -3.122513154605426e-01,  5.156832959156319e-01,  7.398131787194919e-01, -3.255628277392624e-01,  1.527012731460138e-02
  1.740000000000000e+00, -1.031296484535947e-01, -1.856412189083161e+00,  2.181865494134021e-01,  1.841939594893829e-01,  7.393855921247757e-01,  1.988756632339088e-01, -2.934369004148741e-01,  5.293816521374992e-01, -3.071069135960297e-01,  5.247127615145800e-01,  7.447090727587513e-01, -3.221921810720176e-01,  1.563198454495644e-02
  1.750000000000000e+00, -1.072619234554234e-01, -1.856342369583248e+00,  2.239951984061114e-01,  1.863731873686139e-01,  7.386449028504831e-01,  1.991786547274599e-01, -2.986594674554846e-01,  5.259377517767093e-01, -3.020115039449117e-01,  5.352518992500602e-01,  7.499609427961921e-01, -3.180194380696828e-01,  1.612136243095486e-02
  1.760000000000000e+00, -1.113680412997872e-01, -1.856568970408160e+00,  2.298242151815448e-01,  1.886141049847513e-01,  7.378953045476432e-01,  1.994813967668616e-01, -3.036294132810695e-01,  5.217100678210523e-01, -2.968923666098197e-01,  5.470824262807129e-01,  7.557394488063546e-01, -3.132403879368169e-01,  1.673854295800460e-02
  1.770000000000000e+00, -1.153904011061277e-01, -1.857092927906217e+00,  2.355872102995494e-01,  1.908845691196546e-01,  7.371477450057451e-01,  1.997794253912557e-01, -3.082099331566188e-01,  5.167611635623091e-01, -2.916738610159952e-01,  5.600006484470839e-01,  7.621661953150953e-01, -3.079976007897209e-01,  1.747892147980704e-02
  1.780000000000000e+00, -1.192833748146275e-01, -1.857899011055725e+00,  2.412121994419087e-01,  1.931549331175094e-01,  7.364117527275358e-01,  2.000690474761418e-01, -3.123031805105448e-01,  5.111752526917434e-01, -2.862848916451272e-01,  5.738345556614712e-01,  7.692172435603809e-01, -3.023641440822393e-01,  1.833076279446485e-02
  1.790000000000000e+00, -1.230201337280497e-01, -1.858957681394387e+00,  2.466527639537049e-01,  1.954028905633008e-01,  7.356941939200534e-01,  2.003477409118108e-01, -3.158513102274249e-01,  5.050603312448025e-01, -2.806661427961627e-01,  5.884312605567963e-01,  7.768366211864343e-01, -2.963784490418457e-01,  1.928394070515084e-02
  1.800000000000000e+00, -1.265915405699478e-01, -1.860242773201569e+00,  2.518880525482469e-01,  1.976158259185254e-01,  7.349982649713060e-01,  2.006145673592777e-01, -3.188415760583959e-01,  4.985088282372589e-01, -2.747770146697504e-01,  6.036757884103031e-01,  7.847974769440185e-01, -2.900665999573195e-01,  2.031564056518344e-02
  1.810000000000000e+00, -1.300068291733885e-01, -1.861728241421246e+00,  2.569246469461089e-01,  1.997917945257592e-01,  7.343239154631076e-01,  2.008698189597912e-01, -3.213003024708922e-01,  4.916111600729287e-01, -2.685936183550908e-01,  6.194735162354887e-01,  7.928342658959333e-01, -2.834570543552777e-01,  2.139070025310269e-02
  1.820000000000000e+00, -1.332901357479803e-01, -1.863385724488452e+00,  2.617922170979479e-01,  2.019380555595678e-01,  7.336688602669212e-01,  2.011144890954284e-01, -3.232900273363272e-01,  4.844531669067920e-01, -2.621084407320036e-01,  6.357567906434997e-01,  8.005936635994051e-01, -2.765568645086229e-01,  2.245738210476465e-02
  1.830000000000000e+00, -1.364739104888863e-01, -1.865175696493238e+00,  2.665342396374287e-01,  2.040667512259506e-01,  7.330304826345162e-01,  2.013494220384439e-01, -3.248946495035867e-01,  4.771282453598800e-01, -2.553325920613665e-01,  6.524766292635846e-01,  8.077068275648949e-01, -2.693578881763061e-01,  2.346150753326034e-02
  1.840000000000000e+00, -1.395915724485610e-01, -1.867039137893421e+00,  2.711973565584729e-01,  2.061898153369218e-01,  7.324076498443507e-01,  2.015745857411765e-01, -3.261992237682504e-01,  4.697499685143651e-01, -2.482975400373697e-01,  6.695858961403776e-01,  8.139363875416893e-01, -2.618777629555893e-01,  2.436677732316369e-02
  1.850000000000000e+00, -1.426653841195730e-01, -1.868924416383535e+00,  2.758132086357997e-01,  2.083142508706150e-01,  7.318005088785225e-01,  2.017895193673741e-01, -3.272724842492015e-01,  4.624147036531484e-01, -2.410571174932526e-01,  6.870519516432892e-01,  8.190932851563032e-01, -2.541778010602842e-01,  2.515196332691452e-02
  1.860000000000000e+00, -1.457115328811626e-01, -1.870751751801361e+00,  2.804057619838763e-01,  2.104411156102555e-01,  7.312121830666060e-01,  2.019924200879435e-01, -3.281630978275119e-01,  4.552508305568175e-01, -2.336756908398387e-01,  7.048230113429906e-01,  8.232895941317557e-01, -2.463620519759480e-01,  2.582755765294028e-02
  1.870000000000000e+00, -1.487304021106300e-01, -1.872467511531018e+00,  2.849761315620393e-01,  2.125647334462294e-01,  7.306461145929811e-01,  2.021817637098526e-01, -3.288975273779454e-01,  4.483444775235561e-01, -2.262240933533470e-01,  7.228596452448315e-01,  8.266239220449357e-01, -2.385461510893192e-01,  2.640990337277199e-02
  1.880000000000000e+00, -1.517148462795749e-01, -1.874032102136656e+00,  2.895143894147078e-01,  2.146760969857862e-01,  7.301056469545929e-01,  2.023563196609687e-01, -3.294876478118174e-01,  4.417583053905416e-01, -2.187662946582151e-01,  7.411123764018738e-01,  8.292784555783375e-01, -2.308488338758314e-01,  2.692678906734410e-02
  1.890000000000000e+00, -1.546533505030300e-01, -1.875431296727781e+00,  2.940037319127715e-01,  2.167657639526183e-01,  7.295927677716355e-01,  2.025156827259806e-01, -3.299375336666028e-01,  4.355188976351076e-01, -2.113552416474417e-01,  7.595279732658721e-01,  8.314384943261509e-01, -2.233728582240961e-01,  2.740940184037307e-02
  1.900000000000000e+00, -1.575330110960893e-01, -1.876675968601905e+00,  2.984245268349019e-01,  2.188255608301220e-01,  7.291077797001237e-01,  2.026603382998502e-01, -3.302475050938005e-01,  4.296193217676575e-01, -2.040333446675781e-01,  7.780550212066575e-01,  8.332624346847566e-01, -2.161966642200190e-01,  2.788603772907435e-02
  1.910000000000000e+00, -1.603423112351229e-01, -1.877795159339014e+00,  3.027583406820562e-01,  2.208496275566943e-01,  7.286494891575203e-01,  2.027914727133112e-01, -3.304158536159944e-01,  4.240281393289803e-01, -1.968347228630740e-01,  7.966446966592444e-01,  8.348915934126900e-01, -2.093819546717635e-01,  2.837865747130843e-02
  1.920000000000000e+00, -1.630747067072741e-01, -1.878826435171126e+00,  3.069935737804140e-01,  2.228359292481438e-01,  7.282154699262151e-01,  2.029107140071550e-01, -3.304424147907563e-01,  4.187000497113099e-01, -1.897886479286886e-01,  8.152499143152175e-01,  8.364574103175081e-01, -2.029770976454128e-01,  2.890113816645060e-02
