Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Left.ElbowFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.ElbowPronation.Pos,Main.HumanModel.BodyModel.Interface.Left.WristFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.WristAbduction.Pos
  1.750000000000000e+00, -2.407503647852051e+00,  2.487109282055545e-01, -1.467498732792656e+00,  2.706041832519063e-01,  7.159138254322825e-01,  2.066870976274862e-01, -4.908993019672152e-01,  3.115561377523021e-01, -9.668789542554178e-02,  7.698702506008961e-01,  5.701315989523269e-01, -1.391586384080443e-01,  3.758221176588407e-02
  1.760000000000000e+00, -2.410886734016627e+00,  2.438699931688346e-01, -1.473618105788353e+00,  2.668658851962344e-01,  7.162561672744066e-01,  2.067390527619922e-01, -4.935490936144065e-01,  3.141519670828183e-01, -1.073506915097018e-01,  7.447636625439900e-01,  5.666464404986195e-01, -1.466725140321872e-01,  3.647059109892098e-02
  1.770000000000000e+00, -2.414487131263353e+00,  2.388563912069958e-01, -1.479653174343205e+00,  2.631069040523850e-01,  7.166225243536901e-01,  2.067797097111456e-01, -4.955203731251617e-01,  3.166749613809414e-01, -1.179078990142215e-01,  7.192151569976231e-01,  5.635146288903481e-01, -1.542721781391381e-01,  3.539898436532633e-02
  1.780000000000000e+00, -2.418308953400705e+00,  2.336782969494872e-01, -1.485564731495062e+00,  2.593416748542003e-01,  7.170121432930194e-01,  2.068084917361872e-01, -4.967827253687400e-01,  3.190324374001766e-01, -1.285312511593685e-01,  6.935783013836506e-01,  5.602025884763057e-01, -1.619693671353253e-01,  3.437322955380244e-02
  1.790000000000000e+00, -2.422361649348753e+00,  2.283384477520785e-01, -1.491318125441331e+00,  2.555801924701535e-01,  7.174243509518891e-01,  2.068250497678007e-01, -4.973054580592564e-01,  3.211273845530332e-01, -1.393796744665020e-01,  6.681972752034472e-01,  5.562857800726577e-01, -1.697544588604256e-01,  3.339584323172311e-02
  1.800000000000000e+00, -2.426662224190745e+00,  2.228332390645225e-01, -1.496880902994684e+00,  2.518281460344109e-01,  7.178586039215921e-01,  2.068292310622739e-01, -4.970604292381042e-01,  3.228617992067012e-01, -1.505909740578464e-01,  6.433907673904974e-01,  5.514633367470709e-01, -1.775840945370852e-01,  3.246849487041453e-02
  1.810000000000000e+00, -2.431225579097424e+00,  2.171559863911089e-01, -1.502229432900021e+00,  2.480885984294614e-01,  7.183147738320868e-01,  2.068208189054143e-01, -4.960296430225054e-01,  3.241504092685367e-01, -1.622743278694986e-01,  6.194376972794492e-01,  5.455512337318034e-01, -1.853713685675016e-01,  3.159306583415344e-02
  1.820000000000000e+00, -2.436059099686474e+00,  2.113011155409134e-01, -1.507347903132195e+00,  2.443645856396947e-01,  7.187930086693738e-01,  2.067994407188321e-01, -4.942114796352849e-01,  3.249289432970430e-01, -1.745057272770187e-01,  5.965671719847399e-01,  5.384674594856598e-01, -1.929894139887940e-01,  3.077150886403581e-02
  1.830000000000000e+00, -2.441164347047429e+00,  2.052677862219360e-01, -1.512218453493037e+00,  2.406618701075323e-01,  7.192931167782473e-01,  2.067647260929174e-01, -4.916251700039515e-01,  3.251514909384241e-01, -1.873261930325821e-01,  5.749539792608783e-01,  5.301966456627768e-01, -2.002851694496728e-01,  3.000258240811700e-02
  1.840000000000000e+00, -2.446519882190014e+00,  1.990670209501440e-01, -1.516834121912142e+00,  2.369909740890903e-01,  7.198147194273183e-01,  2.067160905643776e-01, -4.883153461889016e-01,  3.248285297565370e-01, -2.007416738546067e-01,  5.546982319249683e-01,  5.208907728068621e-01, -2.070838868167684e-01,  2.928928739992373e-02
  1.850000000000000e+00, -2.452107613320183e+00,  1.927176025283186e-01, -1.521168539349039e+00,  2.333671372464823e-01,  7.203558704245250e-01,  2.066534978783384e-01, -4.843476796158766e-01,  3.239696465103396e-01, -2.147239431750141e-01,  5.358467302431044e-01,  5.106685634124384e-01, -2.132353387395138e-01,  2.862653235313042e-02
  1.860000000000000e+00, -2.457890217893052e+00,  1.862520090374592e-01, -1.525200693491767e+00,  2.298102734625496e-01,  7.209137189185704e-01,  2.065771046133393e-01, -4.798082954654647e-01,  3.226234563261373e-01, -2.292172048321550e-01,  5.183824344755896e-01,  4.997300848396931e-01, -2.186180881614226e-01,  2.801081946984600e-02
  1.870000000000000e+00, -2.463828625804665e+00,  1.797118505365211e-01, -1.528899073807402e+00,  2.263434356058917e-01,  7.214838248820847e-01,  2.064877459159338e-01, -4.748003710281256e-01,  3.208255223681136e-01, -2.441446298825638e-01,  5.022619224051994e-01,  4.881456176230192e-01, -2.231723845229061e-01,  2.742451129360127e-02
  1.880000000000000e+00, -2.469864022552271e+00,  1.731491834719691e-01, -1.532249269432555e+00,  2.229903424587636e-01,  7.220613166254237e-01,  2.063864660539579e-01, -4.694348163010788e-01,  3.186518589406496e-01, -2.594193125392774e-01,  4.874029608951593e-01,  4.760617406222942e-01, -2.268893011974920e-01,  2.685224486089110e-02
  1.890000000000000e+00, -2.475933678148129e+00,  1.666192346363616e-01, -1.535244834363342e+00,  2.197726010659643e-01,  7.226408776983696e-01,  2.062747144791221e-01, -4.638253371896930e-01,  3.161777500450003e-01, -2.749480139289012e-01,  4.737155972081848e-01,  4.635531917302336e-01, -2.298303142066120e-01,  2.627214711673360e-02
  1.900000000000000e+00, -2.481970751048249e+00,  1.601772245941079e-01, -1.537894028136570e+00,  2.167078613641047e-01,  7.232173715960364e-01,  2.061541253681937e-01, -4.580830054876449e-01,  3.134839404234787e-01, -2.906350508845936e-01,  4.611048996486110e-01,  4.506646442309453e-01, -2.321177022813017e-01,  2.566327200973473e-02
  1.910000000000000e+00, -2.487910104170325e+00,  1.538740339347359e-01, -1.540218295218597e+00,  2.138085335531354e-01,  7.237862021757429e-01,  2.060264030101412e-01, -4.523120692937004e-01,  3.106525164226469e-01, -3.063845570509218e-01,  4.494749549782544e-01,  4.374221707013130e-01, -2.339174392242289e-01,  2.501082941763315e-02
  1.920000000000000e+00, -2.493695443328494e+00,  1.477515815762805e-01, -1.542248028062058e+00,  2.110809059163838e-01,  7.243436030823243e-01,  2.058932170685440e-01, -4.466070262597603e-01,  3.077612487307981e-01, -3.221026485682892e-01,  4.387334177425167e-01,  4.238436243578875e-01, -2.354165240026818e-01,  2.430871339742465e-02
  1.930000000000000e+00, -2.499284973834482e+00,  1.418392664794965e-01, -1.544017773911801e+00,  2.085249322755200e-01,  7.248868445681178e-01,  2.057560969238588e-01, -4.410506399925324e-01,  3.048773522748514e-01, -3.377000059400412e-01,  4.287970676947452e-01,  4.099474334548026e-01, -2.367966604750311e-01,  2.355903757644612e-02
  1.940000000000000e+00, -2.504654622423184e+00,  1.361525017047240e-01, -1.545561046204645e+00,  2.061349282489422e-01,  7.254142534210412e-01,  2.056163689347680e-01, -4.357132113876529e-01,  3.020472426526408e-01, -3.530942429524178e-01,  4.196000958040214e-01,  3.957398023515016e-01, -2.382084674816973e-01,  2.276843543639140e-02
  1.950000000000000e+00, -2.509794857530547e+00,  1.306940597134601e-01, -1.546910679789066e+00,  2.039007542694994e-01,  7.259252754764138e-01,  2.054750360525069e-01, -4.306424748400486e-01,  2.993158308768788e-01, -3.682158419785997e-01,  4.110783675480390e-01,  3.813716820113211e-01, -2.397305786222899e-01,  2.195655057613579e-02
  1.960000000000000e+00, -2.514716061325976e+00,  1.254561631840223e-01, -1.548084131837905e+00,  2.018103961801787e-01,  7.264196011702018e-01,  2.053330966455134e-01, -4.258767655607968e-01,  2.966821450883602e-01, -3.830030767149327e-01,  4.031973139433497e-01,  3.669148836200588e-01, -2.413860880094527e-01,  2.113589549923326e-02
  1.970000000000000e+00, -2.519444615796169e+00,  1.204246441362604e-01, -1.549081018541306e+00,  1.998519801253357e-01,  7.268967110777321e-01,  2.051916675029846e-01, -4.214441027439152e-01,  2.941149697958772e-01, -3.974029482676589e-01,  3.959383654214494e-01,  3.524375619142366e-01, -2.431368151185989e-01,  2.031525830991537e-02
  1.980000000000000e+00, -2.524007212941733e+00,  1.155858767646566e-01, -1.549896578295126e+00,  1.980151621542952e-01,  7.273560193080675e-01,  2.050518091773136e-01, -4.173572263859034e-01,  2.915960572346157e-01, -4.113712017325802e-01,  3.892688760187245e-01,  3.381618690012508e-01, -2.448696126580274e-01,  1.951215961935194e-02
  1.990000000000000e+00, -2.528434724926544e+00,  1.109270349129969e-01, -1.550514918969864e+00,  1.962916532426502e-01,  7.277964322473485e-01,  2.049147427008886e-01, -4.136293903258108e-01,  2.890880490215454e-01, -4.248686360261359e-01,  3.831708887361537e-01,  3.242413373097361e-01, -2.464481461102317e-01,  1.873654508767032e-02
  2.000000000000000e+00, -2.532754703550403e+00,  1.064383661449877e-01, -1.550918045107600e+00,  1.946750859208131e-01,  7.282166129115988e-01,  2.047817079793888e-01, -4.102816095426211e-01,  2.865366192650670e-01, -4.378592671166113e-01,  3.776445368014680e-01,  3.107028457452957e-01, -2.477467398601121e-01,  1.798832428799419e-02
  2.010000000000000e+00, -2.536980114546370e+00,  1.021154317284173e-01, -1.551101910413667e+00,  1.931602493688218e-01,  7.286156589692682e-01,  2.046536241505347e-01, -4.073297013513552e-01,  2.839166457029959e-01, -4.503170278675803e-01,  3.726741221396411e-01,  2.976766221828179e-01, -2.486330080560260e-01,  1.727454485159475e-02
  2.020000000000000e+00, -2.541116898447997e+00,  9.795849608249316e-02, -1.551065430871809e+00,  1.917436553992304e-01,  7.289925079859552e-01,  2.045313908916536e-01, -4.047985063443128e-01,  2.811975892470260e-01, -4.622244047450821e-01,  3.682564872414339e-01,  2.852068006993184e-01, -2.490120296273768e-01,  1.659459635865244e-02
  2.030000000000000e+00, -2.545158051850741e+00,  9.397508223711322e-02, -1.550817058912275e+00,  1.904237017568788e-01,  7.293460501328817e-01,  2.044158117210810e-01, -4.027098861820159e-01,  2.783777631984183e-01, -4.735780922824571e-01,  3.643746744355308e-01,  2.734503567096215e-01, -2.487919998697297e-01,  1.595518075227342e-02
  2.040000000000000e+00, -2.549091289022923e+00,  9.018085823086266e-02, -1.550360879883828e+00,  1.892019715178035e-01,  7.296742086948639e-01,  2.043080379732131e-01, -4.010998452108917e-01,  2.754418212411666e-01, -4.843829353833789e-01,  3.610283725111190e-01,  2.624526825090241e-01, -2.479214612465153e-01,  1.535390887472428e-02
  2.050000000000000e+00, -2.552892638846662e+00,  8.660263336811180e-02, -1.549703409304922e+00,  1.880834764996407e-01,  7.299740072848013e-01,  2.042095160455052e-01, -4.000089175126085e-01,  2.723854017941084e-01, -4.946504818900330e-01,  3.582079268686488e-01,  2.522861366603363e-01, -2.463624767999195e-01,  1.479111564304658e-02
  2.060000000000000e+00, -2.556527623904114e+00,  8.327678745055084e-02, -1.548854968060462e+00,  1.870758748799648e-01,  7.302417627251421e-01,  2.041219292812499e-01, -3.994780498103729e-01,  2.692122308232230e-01, -5.043920437133668e-01,  3.558949053981387e-01,  2.430126142527281e-01, -2.440989191632537e-01,  1.426845666665428e-02
  2.070000000000000e+00, -2.559953479044748e+00,  8.024298428864098e-02, -1.547836654925596e+00,  1.861868248808829e-01,  7.304740844813721e-01,  2.040467945417583e-01, -3.995297568849775e-01,  2.659463262216348e-01, -5.136123529971747e-01,  3.540549819402912e-01,  2.347178308005787e-01, -2.411306092033167e-01,  1.379201283598496e-02
  2.080000000000000e+00, -2.563130042992881e+00,  7.753313731591781e-02, -1.546679155025197e+00,  1.854206855210498e-01,  7.306689003276459e-01,  2.039850833633138e-01, -4.001571157151730e-01,  2.626096485246336e-01, -5.222971933588351e-01,  3.526609083090944e-01,  2.273449868688027e-01, -2.375108057133037e-01,  1.335845874048823e-02
  2.090000000000000e+00, -2.566016724613773e+00,  7.516168007095990e-02, -1.545443159921184e+00,  1.847740508204860e-01,  7.308276593764856e-01,  2.039362336751860e-01, -4.012804852512162e-01,  2.592729662130856e-01, -5.304097545061457e-01,  3.516544301783187e-01,  2.209398331410514e-01, -2.332957698347555e-01,  1.297234789046359e-02
  2.100000000000000e+00, -2.568582020209166e+00,  7.311595849881623e-02, -1.544217115037041e+00,  1.842332536053576e-01,  7.309562071123394e-01,  2.038978004411074e-01, -4.027430366362585e-01,  2.560350104349149e-01, -5.378811671356833e-01,  3.509664111675627e-01,  2.155096173906489e-01, -2.285760777330150e-01,  1.263405750622318e-02
  2.110000000000000e+00, -2.570805647407410e+00,  7.135605390421260e-02, -1.543112533338230e+00,  1.837749559153151e-01,  7.310645742486925e-01,  2.038655347087035e-01, -4.043165210826677e-01,  2.530227059674732e-01, -5.446132908928151e-01,  3.505133231023657e-01,  2.110588262411227e-01, -2.234685628495987e-01,  1.234167603716324e-02
  2.120000000000000e+00, -2.572678109077295e+00,  6.982716094141733e-02, -1.542243919022319e+00,  1.833716942343974e-01,  7.311645893653781e-01,  2.038344016658309e-01, -4.057382085552088e-01,  2.503721101292057e-01, -5.504909683882473e-01,  3.502023917697933e-01,  2.075869743280289e-01, -2.181146752622976e-01,  1.209073054541509e-02
  2.130000000000000e+00, -2.574195885295229e+00,  6.848070082082912e-02, -1.541702993891802e+00,  1.830003536922192e-01,  7.312662586560346e-01,  2.038001238035686e-01, -4.067623688718805e-01,  2.482039488716730e-01, -5.554004660203611e-01,  3.499392753602069e-01,  2.050888812696595e-01, -2.126758014075971e-01,  1.187543369386821e-02
  2.140000000000000e+00, -2.575355159461941e+00,  6.729334382226845e-02, -1.541539524241650e+00,  1.826493017381102e-01,  7.313747136269363e-01,  2.037604855651363e-01, -4.072042996393031e-01,  2.466044368492550e-01, -5.592457175889272e-01,  3.496367519802639e-01,  2.035515527906908e-01, -2.073267222512230e-01,  1.169037414799468e-02
  2.150000000000000e+00, -2.576147430571662e+00,  6.627553782017319e-02, -1.541756005283780e+00,  1.823211386372946e-01,  7.314889949228128e-01,  2.037158645305194e-01, -4.069634703502849e-01,  2.456181331170456e-01, -5.619566993526144e-01,  3.492227925918166e-01,  2.029478798841330e-01, -2.022498257659824e-01,  1.153089650885059e-02
  2.160000000000000e+00, -2.576558951825010e+00,  6.546796992729928e-02, -1.542314856818631e+00,  1.820308161135896e-01,  7.316027663168873e-01,  2.036689497975349e-01, -4.060249802288102e-01,  2.452521788588263e-01, -5.634900227555525e-01,  3.486484422663065e-01,  2.032347958069628e-01, -1.976299499048679e-01,  1.139228778265192e-02
  2.170000000000000e+00, -2.576572968735007e+00,  6.492966941933744e-02, -1.543153679979502e+00,  1.818007091421646e-01,  7.317063572844551e-01,  2.036238881527341e-01, -4.044454992133866e-01,  2.454879062850946e-01, -5.638241158669480e-01,  3.478952021180732e-01,  2.043572390367262e-01, -1.936470535636614e-01,  1.126919874919789e-02
  2.180000000000000e+00, -2.576171590197589e+00,  6.472411008767709e-02, -1.544203929595790e+00,  1.816549825026544e-01,  7.317892519348189e-01,  2.035852112484816e-01, -4.023322667343209e-01,  2.462955702905076e-01, -5.629514132240924e-01,  3.469792746361557e-01,  2.062540169109728e-01, -1.904646773618310e-01,  1.115573020258821e-02
