Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  1.920000000000000e+00,  2.559263070920355e-01,  5.029723748794424e-02,  7.659466391505968e-03,  1.307710021860678e+00, -5.305790893604300e-02,  2.156266976262531e-01
  1.930000000000000e+00,  2.765967439449870e-01,  4.627034547107023e-02,  1.438843687973956e-02,  1.285573276187762e+00, -5.975014382919846e-02,  2.156711031707217e-01
  1.940000000000000e+00,  2.957635494873201e-01,  4.251392115969721e-02,  2.167722467836777e-02,  1.258428417156840e+00, -6.527781928920469e-02,  2.168211630587312e-01
  1.950000000000000e+00,  3.133853960167365e-01,  3.911618051582177e-02,  2.943276959046361e-02,  1.226370940710300e+00, -6.968844987021874e-02,  2.193025368561113e-01
  1.960000000000000e+00,  3.294164806460030e-01,  3.616675560980975e-02,  3.756167396729174e-02,  1.189496309285768e+00, -7.299872470415188e-02,  2.231156425468647e-01
  1.970000000000000e+00,  3.437946991701428e-01,  3.374488204881954e-02,  4.597462554211675e-02,  1.147900037357836e+00, -7.519547069352621e-02,  2.280597997105094e-01
  1.980000000000000e+00,  3.564419363747847e-01,  3.191421007048278e-02,  5.459409799563276e-02,  1.101683858370868e+00, -7.624020876239047e-02,  2.337679531035916e-01
  1.990000000000000e+00,  3.672625156710800e-01,  3.071835585420568e-02,  6.335595186476733e-02,  1.050966389723746e+00, -7.607291081789415e-02,  2.397653856122050e-01
  2.000000000000000e+00,  3.761477975244311e-01,  3.018256912926809e-02,  7.221899151375377e-02,  9.958960464354945e-01, -7.461734727125538e-02,  2.455285968884344e-01
  2.010000000000000e+00,  3.829725418654648e-01,  3.031748499350329e-02,  8.117234446202584e-02,  9.366676923830374e-01, -7.179542364056626e-02,  2.505347376064047e-01
  2.020000000000000e+00,  3.875978674556150e-01,  3.112743220716108e-02,  9.023622430800021e-02,  8.735509922411909e-01, -6.754344480087723e-02,  2.542816066006434e-01
  2.030000000000000e+00,  3.898840444687221e-01,  3.261881911967546e-02,  9.945236178895622e-02,  8.069342371100365e-01, -6.182233088790035e-02,  2.562909161710255e-01
  2.040000000000000e+00,  3.897195224584915e-01,  3.480580687829438e-02,  1.088667553194657e-01,  7.373828592275644e-01, -5.462795522343153e-02,  2.561247841777516e-01
  2.050000000000000e+00,  3.870638448288579e-01,  3.771054294456588e-02,  1.185119027763856e-01,  6.657071789482479e-01, -4.601148466703502e-02,  2.534280034175801e-01
  2.060000000000000e+00,  3.820037576538247e-01,  4.135663783410104e-02,  1.283957591703633e-01,  5.930303826047870e-01, -3.611390757897074e-02,  2.479826804792683e-01
  2.070000000000000e+00,  3.748155590961994e-01,  4.575184486267014e-02,  1.385065253268211e-01,  5.208350382963118e-01, -2.521272463072147e-02,  2.397525009077595e-01
  2.080000000000000e+00,  3.660096546902795e-01,  5.085338045599053e-02,  1.488345273422269e-01,  4.509498558668148e-01, -1.376696545872269e-02,  2.289008130278198e-01
  2.090000000000000e+00,  3.563129085852492e-01,  5.651460840459732e-02,  1.593900974308693e-01,  3.854312463000087e-01, -2.423622819876301e-03,  2.157955322356588e-01
  2.100000000000000e+00,  3.465626286994278e-01,  6.243385734151596e-02,  1.701697120370493e-01,  3.263240494903418e-01,  8.055618454443313e-03,  2.010501470534395e-01
  2.110000000000000e+00,  3.375389436435549e-01,  6.814889043224559e-02,  1.810500825546248e-01,  2.753589768197808e-01,  1.694878322410640e-02,  1.856234814353990e-01
  2.120000000000000e+00,  3.298173452326446e-01,  7.310728911135156e-02,  1.916849550202964e-01,  2.337135579175938e-01,  2.374942539215902e-02,  1.708831213586738e-01
  2.130000000000000e+00,  3.237137285399691e-01,  7.678364686832273e-02,  2.015219963243257e-01,  2.019379409176696e-01,  2.828822405663968e-02,  1.584768282517087e-01
  2.140000000000000e+00,  3.193240430866353e-01,  7.877516528522732e-02,  2.099488310311804e-01,  1.800282849844939e-01,  3.077061810518572e-02,  1.500019753172758e-01
  2.150000000000000e+00,  3.166009249713969e-01,  7.883703399780773e-02,  2.164613622388891e-01,  1.675468345184441e-01,  3.174573020221837e-02,  1.466456975225718e-01
  2.160000000000000e+00,  3.154123302237929e-01,  7.687176789572958e-02,  2.207723360867686e-01,  1.637151418532606e-01,  3.202166281979494e-02,  1.489534550496918e-01
  2.170000000000000e+00,  3.155650012521925e-01,  7.290464391177109e-02,  2.228514576873931e-01,  1.674747517681972e-01,  3.252838179553098e-02,  1.567606796477327e-01
  2.180000000000000e+00,  3.168005344091578e-01,  6.706391336225437e-02,  2.228966168626154e-01,  1.775405222448583e-01,  3.413639541021715e-02,  1.692707241778492e-01
  2.190000000000000e+00,  3.187773892929162e-01,  5.956640641646338e-02,  2.212328804665495e-01,  1.924706680493250e-01,  3.746418303068084e-02,  1.852569442770019e-01
  2.200000000000000e+00,  3.210589516398595e-01,  5.070195217398199e-02,  2.182001165400021e-01,  2.107696596726573e-01,  4.273597364835507e-02,  2.033160683993572e-01
  2.210000000000000e+00,  3.231329763667788e-01,  4.081509318476817e-02,  2.141307252634106e-01,  2.310134002782132e-01,  4.974706003981404e-02,  2.220687598491004e-01
  2.220000000000000e+00,  3.244670358182902e-01,  3.028297532905944e-02,  2.094034800206565e-01,  2.519450906233504e-01,  5.792733353893329e-02,  2.403050605078937e-01
  2.230000000000000e+00,  3.245763564029879e-01,  1.947929004616555e-02,  2.044495827728644e-01,  2.725032578361083e-01,  6.644608049193203e-02,  2.571485796574370e-01
  2.240000000000000e+00,  3.230824884598146e-01,  8.723972559805171e-03,  1.996840882728879e-01,  2.918152810245251e-01,  7.433782360694083e-02,  2.721792676355851e-01
  2.250000000000000e+00,  3.197528852254380e-01, -1.758696158459916e-03,  1.954459736431019e-01,  3.092090365391307e-01,  8.065476825912171e-02,  2.853735900217736e-01
  2.260000000000000e+00,  3.145081073252586e-01, -1.185467262186912e-02,  1.919808656641191e-01,  3.242360586224137e-01,  8.461709947670565e-02,  2.968967236965034e-01
  2.270000000000000e+00,  3.073895176700139e-01, -2.154861013403520e-02,  1.894394418768229e-01,  3.366648271930293e-01,  8.571990878101450e-02,  3.069234019041038e-01
  2.280000000000000e+00,  2.985038981823188e-01, -3.089346899464007e-02,  1.878783901954753e-01,  3.464332659832119e-01,  8.378192982589895e-02,  3.155771786257132e-01
  2.290000000000000e+00,  2.879743540581427e-01, -3.996819898694670e-02,  1.872685584116318e-01,  3.535864949569728e-01,  7.893413322907369e-02,  3.229423123476926e-01
  2.300000000000000e+00,  2.759164381464467e-01, -4.883540847027845e-02,  1.875076777553664e-01,  3.582275316672859e-01,  7.155237437613964e-02,  3.290805079785663e-01
  2.310000000000000e+00,  2.624383082340197e-01, -5.751304619425368e-02,  1.884315979322818e-01,  3.604898582598323e-01,  6.215947891537475e-02,  3.340376420992338e-01
  2.320000000000000e+00,  2.476503850968751e-01, -6.596667581722082e-02,  1.898257231538519e-01,  3.605275182542578e-01,  5.133090951254267e-02,  3.378550089902091e-01
  2.330000000000000e+00,  2.316705390172881e-01, -7.411864808178636e-02,  1.914412362940472e-01,  3.585150104987699e-01,  3.962290558164090e-02,  3.405852724198566e-01
  2.340000000000000e+00,  2.146206262807465e-01, -8.186703524342720e-02,  1.930177431562397e-01,  3.546480208053918e-01,  2.752654580700255e-02,  3.423030928972623e-01
