Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  1.770000000000000e+00, -1.740826856451547e-01,  9.439525354201961e-02, -1.396423140460823e-02,  1.019388400474612e+00,  1.589517135927177e-01,  6.367729534941875e-03
  1.780000000000000e+00, -1.422581214522802e-01,  9.608467008083910e-02, -1.621299924877218e-02,  1.072336766002957e+00,  1.481657584621613e-01,  3.100443500605059e-02
  1.790000000000000e+00, -1.104280450901722e-01,  9.675564360813582e-02, -1.815249963980600e-02,  1.121642364592304e+00,  1.337195177598048e-01,  5.775779684485362e-02
  1.800000000000000e+00, -7.869683982984758e-02,  9.644041761544364e-02, -1.968713611678881e-02,  1.166780796146886e+00,  1.168453412302477e-01,  8.527391227895664e-02
  1.810000000000000e+00, -4.714710013952907e-02,  9.521139800938005e-02, -2.074245356547513e-02,  1.207343848294669e+00,  9.862077420962360e-02,  1.122023016055631e-01
  1.820000000000000e+00, -1.585821184473183e-02,  9.317268519803101e-02, -2.127235185578233e-02,  1.243033326967678e+00,  7.990023039397275e-02,  1.373142117116539e-01
  1.830000000000000e+00,  1.507996462240825e-02,  9.044746836947271e-02, -2.125285733340077e-02,  1.273644475731581e+00,  6.130940070684945e-02,  1.596057848921671e-01
  1.840000000000000e+00,  4.556246873469044e-02,  8.716673965322275e-02, -2.066927448600531e-02,  1.299045318049814e+00,  4.328442874753843e-02,  1.783708096777815e-01
  1.850000000000000e+00,  7.546948607921865e-02,  8.345972541265767e-02, -1.950551559801247e-02,  1.319156175925764e+00,  2.612874954315078e-02,  1.932349880981891e-01
  1.860000000000000e+00,  1.046654577356355e-01,  7.944440506338490e-02, -1.773710900399789e-02,  1.333931874147227e+00,  1.006070408306633e-02,  2.041564745605998e-01
  1.870000000000000e+00,  1.330005248925849e-01,  7.522122843141865e-02, -1.532850526209152e-02,  1.343350291501901e+00, -4.761541551311025e-03,  2.114012317317975e-01
  1.880000000000000e+00,  1.603222417179994e-01,  7.087251641101466e-02, -1.223788314992307e-02,  1.347408921176685e+00, -1.823290030898193e-02,  2.154959729810171e-01
  1.890000000000000e+00,  1.864933968275340e-01,  6.646546771252893e-02, -8.427976298477080e-03,  1.346125384167726e+00, -3.029998188345902e-02,  2.171598030626990e-01
  1.900000000000000e+00,  2.114028338274281e-01,  6.205688233400597e-02, -3.876665410122365e-03,  1.339537191818778e+00, -4.095823498094035e-02,  2.172201594868718e-01
  1.910000000000000e+00,  2.349658922176897e-01,  5.769963862810035e-02,  1.415464768528807e-03,  1.327700521362480e+00, -5.024541527673908e-02,  2.165232884556038e-01
  1.920000000000000e+00,  2.571198521089223e-01,  5.345031189468208e-02,  7.419998044081725e-03,  1.310688216704086e+00, -5.822906546255966e-02,  2.158488405388234e-01
  1.930000000000000e+00,  2.778174360614521e-01,  4.937577333026977e-02,  1.407987904698692e-02,  1.288585765574774e+00, -6.498769747396997e-02,  2.158359443233257e-01
  1.940000000000000e+00,  2.970197131921746e-01,  4.555613911453604e-02,  2.131565847066281e-02,  1.261486044593765e+00, -7.059162131045563e-02,  2.169292906546296e-01
  1.950000000000000e+00,  3.146890951648680e-01,  4.208156941151109e-02,  2.903626651906643e-02,  1.229484731105795e+00, -7.508869445330330e-02,  2.193516789316489e-01
  1.960000000000000e+00,  3.307812954783461e-01,  3.904301023196100e-02,  3.714878154777802e-02,  1.192677335452749e+00, -7.849647570921305e-02,  2.231025858290817e-01
  1.970000000000000e+00,  3.452374053828791e-01,  3.652172101587792e-02,  4.556520507153836e-02,  1.151159640063224e+00, -8.080268782375417e-02,  2.279782048012870e-01
  1.980000000000000e+00,  3.579806148779268e-01,  3.458235940331122e-02,  5.420747653798842e-02,  1.105033616050191e+00, -8.197015704097499e-02,  2.336098291967119e-01
  1.990000000000000e+00,  3.689179425392481e-01,  3.326983614540735e-02,  6.301263750070971e-02,  1.054417809890923e+00, -8.193977889812062e-02,  2.395186066918544e-01
  2.000000000000000e+00,  3.779410747466830e-01,  3.260931638512754e-02,  7.194030494881884e-02,  9.994597220809722e-01, -8.063602288163516e-02,  2.451774709422188e-01
  2.010000000000000e+00,  3.849244329313565e-01,  3.261040078520328e-02,  8.098038828270199e-02,  9.403523244844837e-01, -7.798103846740240e-02,  2.500600459940540e-01
  2.020000000000000e+00,  3.897268131267307e-01,  3.327492231934870e-02,  9.015365183261938e-02,  8.773616373662345e-01, -7.391040033209499e-02,  2.536611486498636e-01
  2.030000000000000e+00,  3.922042127210605e-01,  3.460529920030164e-02,  9.950119008295895e-02,  8.108699053699288e-01, -6.838273286231712e-02,  2.555009731744664e-01
  2.040000000000000e+00,  3.922377735596364e-01,  3.661009005457094e-02,  1.090659596079629e-01,  7.414329931568598e-01, -6.138904864576782e-02,  2.551432983362328e-01
