Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos
  1.940000000000000e+00, -1.810532446328908e-01, -9.548583688932122e-02,  1.234293320391628e-02,  1.678503335156668e-01, -1.338584023506767e-01,  2.872901081093014e-01
  1.950000000000000e+00, -1.998751565639316e-01, -9.149687580388166e-02,  6.935694321421673e-03,  1.583937908902568e-01, -1.404452863395985e-01,  2.889226762290913e-01
  1.960000000000000e+00, -2.177457686976201e-01, -8.756531139649848e-02,  1.696806906167488e-03,  1.500307787177071e-01, -1.472560071294042e-01,  2.909797173720706e-01
  1.970000000000000e+00, -2.346091859831597e-01, -8.380868803121722e-02, -3.360473489501554e-03,  1.428019494348273e-01, -1.542959633600932e-01,  2.933295834948793e-01
  1.980000000000000e+00, -2.504510086006628e-01, -8.032987724220852e-02, -8.233447287615155e-03,  1.367091036314430e-01, -1.615593150313341e-01,  2.958173717608980e-01
  1.990000000000000e+00, -2.653057798679577e-01, -7.721373543729904e-02, -1.291298421966622e-02,  1.317117676837079e-01, -1.690193483396814e-01,  2.982587458604966e-01
  2.000000000000000e+00, -2.792508448010861e-01, -7.452527509825901e-02, -1.737668548845173e-02,  1.277360951250773e-01, -1.766233237587603e-01,  3.004306925044121e-01
  2.010000000000000e+00, -2.924057462379218e-01, -7.230875486980315e-02, -2.159058110158407e-02,  1.246875967441998e-01, -1.842904007469802e-01,  3.020666447490132e-01
  2.020000000000000e+00, -3.049253858034571e-01, -7.058904626252982e-02, -2.552232231301580e-02,  1.224704643710861e-01, -1.919183056584561e-01,  3.028606414851079e-01
  2.030000000000000e+00, -3.169900373127150e-01, -6.937432873128446e-02, -2.915418458757913e-02,  1.210107606975137e-01, -1.993989908023562e-01,  3.024795195315449e-01
  2.040000000000000e+00, -3.287909457655788e-01, -6.865960629778378e-02, -3.249177634033348e-02,  1.202761156812264e-01, -2.066352846885224e-01,  3.005834724293739e-01
  2.050000000000000e+00, -3.405143592992416e-01, -6.842745470025902e-02, -3.557156365671788e-02,  1.202833838548287e-01, -2.135482015855094e-01,  2.968590255428947e-01
  2.060000000000000e+00, -3.523209084994628e-01, -6.864382600104024e-02, -3.846726784664761e-02,  1.210910041967783e-01, -2.200696241332170e-01,  2.910651207190179e-01
  2.070000000000000e+00, -3.643145185247110e-01, -6.924610638841711e-02, -4.128861745548829e-02,  1.227821821773677e-01, -2.261274738987171e-01,  2.830806649166983e-01
  2.080000000000000e+00, -3.765021320375881e-01, -7.012043282013547e-02, -4.416126653497707e-02,  1.254505040236227e-01, -2.316351003592516e-01,  2.729298571250492e-01
  2.090000000000000e+00, -3.887639564118336e-01, -7.106918060444123e-02, -4.718420332493615e-02,  1.291958862770638e-01, -2.364904069316167e-01,  2.607659034280963e-01
  2.100000000000000e+00, -4.008566239959470e-01, -7.178589034760630e-02, -5.038146344408827e-02,  1.341268889644779e-01, -2.405807069451387e-01,  2.468175760447473e-01
  2.110000000000000e+00, -4.124566666431103e-01, -7.186594231986398e-02, -5.368134117837134e-02,  1.403593331488688e-01, -2.437833438651053e-01,  2.313295831134307e-01
  2.120000000000000e+00, -4.232250467434359e-01, -7.086696753368171e-02, -5.694289617696192e-02,  1.480082198232744e-01, -2.459548474109589e-01,  2.145290024905625e-01
  2.130000000000000e+00, -4.328634421597515e-01, -6.839533179885127e-02, -6.001502917710876e-02,  1.571778472300918e-01, -2.469132547862592e-01,  1.966250537670423e-01
  2.140000000000000e+00, -4.411430542890385e-01, -6.417627991012020e-02, -6.279321061856538e-02,  1.679561450994766e-01, -2.464256879659531e-01,  1.778246027931576e-01
  2.150000000000000e+00, -4.479061565553993e-01, -5.808539310813465e-02, -6.525044698261531e-02,  1.804184065821570e-01, -2.442069434199428e-01,  1.583440172040766e-01
  2.160000000000000e+00, -4.530523334204604e-01, -5.014798387074215e-02, -6.744276437188472e-02,  1.946418774285309e-01, -2.399257944351669e-01,  1.384108735286544e-01
  2.170000000000000e+00, -4.565194135595780e-01, -4.052260715389067e-02, -6.950147143342549e-02,  2.107262757171309e-01, -2.332149125873810e-01,  1.182584172332217e-01
  2.180000000000000e+00, -4.582636309499615e-01, -2.947966587487527e-02, -7.161889779001228e-02,  2.288132307700503e-01, -2.236835515751803e-01,  9.811374646341915e-02
  2.190000000000000e+00, -4.582427323466459e-01, -1.737859447422818e-02, -7.402418233750521e-02,  2.491002845335571e-01, -2.109345657680610e-01,  7.817421295181445e-02
  2.200000000000000e+00, -4.564047474306270e-01, -4.642914866460401e-03, -7.694704061553825e-02,  2.718458196733088e-01, -1.945873391516502e-01,  5.857051064622790e-02
  2.210000000000000e+00, -4.526784993839860e-01,  8.268144326407656e-03, -8.057737246317159e-02,  2.973597996290010e-01, -1.743065073153065e-01,  3.932925893176885e-02
  2.220000000000000e+00, -4.469586967548287e-01,  2.089412983642114e-02, -8.502963499260668e-02,  3.259787446827680e-01, -1.498373431711421e-01,  2.035594872931153e-02
  2.230000000000000e+00, -4.390890181133801e-01,  3.281713551758791e-02, -9.031266148920386e-02,  3.580293076036289e-01, -1.210511449683453e-01,  1.453257805472982e-03
  2.240000000000000e+00, -4.288600358607582e-01,  4.370969086380749e-02, -9.630990254890302e-02,  3.937832864748223e-01, -8.800304871596905e-02, -1.761640916562516e-02
  2.250000000000000e+00, -4.160368881104284e-01,  5.337142483390944e-02, -1.027866678739907e-01,  4.334045666774842e-01, -5.100161917271426e-02, -3.702244135474984e-02
  2.260000000000000e+00, -4.004156885218628e-01,  6.174212120220490e-02, -1.094308785624581e-01,  4.768956109656384e-01, -1.068476790125301e-02, -5.673467206415155e-02
  2.270000000000000e+00, -3.818910382456314e-01,  6.888829298410659e-02, -1.159108824730858e-01,  5.240595393095006e-01,  3.191558763228389e-02, -7.641751997941471e-02
  2.280000000000000e+00, -3.605075373222734e-01,  7.496520969629028e-02, -1.219265560457263e-01,  5.744931930970499e-01,  7.535533920476388e-02, -9.539843810698607e-02
  2.290000000000000e+00, -3.364716988967598e-01,  8.016196617656379e-02, -1.272411025745694e-01,  6.276158274438453e-01,  1.178446633250564e-01, -1.127362937274810e-01
  2.300000000000000e+00, -3.101197368220240e-01,  8.464521231050592e-02, -1.316960596693698e-01,  6.827218593233809e-01,  1.574057743305872e-01, -1.273749840638048e-01
  2.310000000000000e+00, -2.818600517497247e-01,  8.851856585574169e-02, -1.352151441858777e-01,  7.390367465060909e-01,  1.920819972834655e-01, -1.383300150487911e-01
  2.320000000000000e+00, -2.521185196342391e-01,  9.180691922450612e-02, -1.377950498791887e-01,  7.957608423444169e-01,  2.201492951115497e-01, -1.448499798565307e-01
  2.330000000000000e+00, -2.213041708223663e-01,  9.446494786730053e-02, -1.394806438504494e-01,  8.520975131925682e-01,  2.403134850974170e-01, -1.465177994520152e-01
  2.340000000000000e+00, -1.897946820570939e-01,  9.640481230580522e-02, -1.403317724358323e-01,  9.072688899077234e-01,  2.518833397392946e-01, -1.432825515920330e-01
  2.350000000000000e+00, -1.579305155765221e-01,  9.753560493984859e-02, -1.403964516703182e-01,  9.605267593725486e-01,  2.548740029370706e-01, -1.354344069061670e-01
  2.360000000000000e+00, -1.260091939561661e-01,  9.780126172671277e-02, -1.397018820382722e-01,  1.011166348432023e+00,  2.499839662961148e-01, -1.235516915395117e-01
  2.370000000000000e+00, -9.427926366415884e-02,  9.720281714754719e-02, -1.382623527167680e-01,  1.058545762572725e+00,  2.384364450526192e-01, -1.084441732903820e-01
