Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Right.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.SubTalarEversion.Pos[0]
  1.720000000000000e+00,  3.064791801999961e-01, -7.354700826764016e-02,  3.689586015704205e-02,  3.975839978318244e-01,  5.025229783962025e-02,  3.457600246629107e-01
  1.730000000000000e+00,  2.912893408430046e-01, -8.226529785072034e-02,  3.558569031303247e-02,  3.996341212734953e-01,  3.986517338836118e-02,  3.509296841378153e-01
  1.740000000000000e+00,  2.746100595754510e-01, -9.007071056468541e-02,  3.588738344886536e-02,  3.991172150218787e-01,  2.830820256873795e-02,  3.545175984208631e-01
  1.750000000000000e+00,  2.564984586259492e-01, -9.696327742591104e-02,  3.749615783820703e-02,  3.961957281629946e-01,  1.605597826158241e-02,  3.563370399391750e-01
  1.760000000000000e+00,  2.370611325040121e-01, -1.029432210469505e-01,  4.004719767606311e-02,  3.910690638400767e-01,  3.545404471888205e-03,  3.563223769191060e-01
  1.770000000000000e+00,  2.164615039692184e-01, -1.080185484539600e-01,  4.315176625523766e-02,  3.839683227896649e-01, -8.844673093310777e-03,  3.545379214097455e-01
  1.780000000000000e+00,  1.949101315856383e-01, -1.122104371629700e-01,  4.643001743700599e-02,  3.751492029084987e-01, -2.081257903998138e-02,  3.511642354257624e-01
  1.790000000000000e+00,  1.726429186249603e-01, -1.155542662073910e-01,  4.953796510459007e-02,  3.648811264491905e-01, -3.214484431033313e-02,  3.464644465265346e-01
  1.800000000000000e+00,  1.498946581229713e-01, -1.180968316528104e-01,  5.219061699296951e-02,  3.534323425751517e-01, -4.271631215025779e-02,  3.407442576731997e-01
  1.810000000000000e+00,  1.268736958418695e-01, -1.198930496475787e-01,  5.417653893775370e-02,  3.410521790275652e-01, -5.247850109887833e-02,  3.343255649808142e-01
  1.820000000000000e+00,  1.037444479436666e-01, -1.210034940539400e-01,  5.535691302607295e-02,  3.279596583288514e-01, -6.144142162253438e-02,  3.275329796487321e-01
  1.830000000000000e+00,  8.062441958247216e-02, -1.214914590055980e-01,  5.565306784702802e-02,  3.143449101862756e-01, -6.965651648197747e-02,  3.206788055813393e-01
  1.840000000000000e+00,  5.759175777146264e-02, -1.214198809164406e-01,  5.502992668026527e-02,  3.003731759459386e-01, -7.720183449063747e-02,  3.140471824147276e-01
