Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos,Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos,Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos,Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos
  2.010000000000000e+00,  3.829464188056274e-01,  3.039852952650834e-02,  8.114432769351283e-02,  9.367830273751404e-01, -7.197308949280443e-02,  2.505306746653440e-01
  2.020000000000000e+00,  3.875710499736327e-01,  3.120518757699697e-02,  9.021034282183069e-02,  8.736695640507025e-01, -6.772594703629443e-02,  2.542747693850441e-01
  2.030000000000000e+00,  3.898567538444802e-01,  3.269289032784251e-02,  9.942922642299594e-02,  8.070559320278262e-01, -6.200999737599943e-02,  2.562807252309925e-01
  2.040000000000000e+00,  3.896917843053675e-01,  3.487563245432801e-02,  1.088469171468497e-01,  7.375072612982257e-01, -5.482095339116796e-02,  2.561107149622797e-01
  2.050000000000000e+00,  3.870354072364633e-01,  3.777536088411404e-02,  1.184957181272135e-01,  6.658334385360690e-01, -4.620971132593883e-02,  2.534097553846714e-01
  2.060000000000000e+00,  3.819740066171965e-01,  4.141548697871533e-02,  1.283831562794961e-01,  5.931570793587532e-01, -3.631686071052134e-02,  2.479604699833955e-01
  2.070000000000000e+00,  3.747834762272538e-01,  4.580364360574163e-02,  1.384966753040684e-01,  5.209600964889172e-01, -2.541939872236175e-02,  2.397274813590563e-01
  2.080000000000000e+00,  3.659738563162185e-01,  5.089711888975623e-02,  1.488255341853459e-01,  4.510706057656190e-01, -1.397584137994797e-02,  2.288755000847368e-01
  2.090000000000000e+00,  3.562718660997223e-01,  5.654965390719990e-02,  1.593789599580589e-01,  3.855447591068619e-01, -2.632853160946657e-03,  2.157739011587544e-01
  2.100000000000000e+00,  3.465150250973385e-01,  6.246024690459984e-02,  1.701528825997013e-01,  3.264277617933020e-01,  7.847815510742172e-03,  2.010369724518562e-01
  2.110000000000000e+00,  3.374840593150024e-01,  6.816740716369707e-02,  1.810245890226253e-01,  2.754514120285844e-01,  1.674365631672258e-02,  1.856228976506592e-01
  2.120000000000000e+00,  3.297552701361847e-01,  7.311921473923988e-02,  1.916494750499126e-01,  2.337947598495938e-01,  2.354740745124986e-02,  1.708971719343552e-01
  2.130000000000000e+00,  3.236453013314416e-01,  7.679034046837896e-02,  2.014771808942836e-01,  2.020093774207628e-01,  2.808898146670671e-02,  1.585049670590641e-01
  2.140000000000000e+00,  3.192506093783147e-01,  7.877773675167576e-02,  2.098968211100970e-01,  1.800923596036778e-01,  3.057333075812859e-02,  1.500416566531596e-01
  2.150000000000000e+00,  3.165240773829557e-01,  7.883623876078527e-02,  2.164050037962681e-01,  1.676063293999044e-01,  3.154940227094206e-02,  1.466934100292201e-01
  2.160000000000000e+00,  3.153337184154334e-01,  7.686806810070257e-02,  2.207145352844837e-01,  1.637727925339746e-01,  3.182535226592813e-02,  1.490056006047669e-01
  2.170000000000000e+00,  3.154862145094945e-01,  7.289832691036602e-02,  2.227947895820515e-01,  1.675329755518267e-01,  3.233134084373512e-02,  1.568141298073469e-01
  2.180000000000000e+00,  3.167230297292162e-01,  6.705519118403735e-02,  2.228431167631781e-01,  1.776012498559569e-01,  3.393814935658493e-02,  1.693231376111469e-01
  2.190000000000000e+00,  3.187024462113595e-01,  5.955546509587428e-02,  2.211839478492181e-01,  1.925352440413261e-01,  3.726456548674118e-02,  1.853069267151670e-01
  2.200000000000000e+00,  3.209876527672609e-01,  5.068895546668828e-02,  2.181565238406170e-01,  2.108388148545830e-01,  4.253511918356344e-02,  2.033631679951486e-01
  2.210000000000000e+00,  3.230662199123095e-01,  4.080016863990621e-02,  2.140927368891894e-01,  2.310873091422420e-01,  4.954535119778264e-02,  2.221132776619434e-01
  2.220000000000000e+00,  3.244055734054336e-01,  3.026620834675642e-02,  2.093710332948087e-01,  2.520234966850399e-01,  5.772531125938663e-02,  2.403477496541156e-01
  2.230000000000000e+00,  3.245208331777210e-01,  1.946072732781046e-02,  2.044224500771425e-01,  2.725856219950477e-01,  6.624433843614554e-02,  2.571903693093444e-01
  2.240000000000000e+00,  3.230334650726665e-01,  8.703624405968613e-03,  1.996619802453029e-01,  2.919009177126584e-01,  7.413690798930453e-02,  2.722210832934333e-01
  2.250000000000000e+00,  3.197108335601457e-01, -1.780855833121597e-03,  1.954285933967414e-01,  3.092972241748470e-01,  8.045510215301799e-02,  2.854162499266989e-01
  2.260000000000000e+00,  3.144733787267628e-01, -1.187870398395630e-02,  1.919679320437119e-01,  3.243261169624125e-01,  8.441894474400487e-02,  2.969408761584090e-01
  2.270000000000000e+00,  3.073622903994193e-01, -2.157460254850663e-02,  1.894306902122468e-01,  3.367561566150522e-01,  8.552336643309380e-02,  3.069694955651243e-01
  2.280000000000000e+00,  2.984841235721090e-01, -3.092153503698492e-02,  1.878735581574706e-01,  3.465253538711116e-01,  8.358696755765868e-02,  3.156254679543599e-01
  2.290000000000000e+00,  2.879617264456840e-01, -3.999846670155072e-02,  1.872673680595029e-01,  3.536789030918943e-01,  7.874062496239925e-02,  3.229928912444451e-01
